,Fraction ,Metric,Decimal
,1/64,0.40,0.016
,1/32,0.79,0.031
,,1.00,0.039
,3/64,1.00,0.047
,1/16,1.59,0.063
,5/64,1.98,0.078
,,2.00,0.079
,3/32,2.38,0.094
,7/64,2.78,0.109
,,3.00,0.118
,1/8,3.18,0.125
,9/64,3.57,0.141
,5/32,3.97,0.156
,,4.00,0.158
,11/64,4.37,0.172
,3/16,4.76,0.188
,,5.00,0.197
,13/64,5.16,0.203
,7/32,5.56,0.219
,15/64,5.95,0.234
,,6.00,0.236
,1/4,6.35,0.250
,17/64,6.75,0.266
,,7.00,0.276
,9/32,7.14,0.281
,19/64,7.54,0.297
,5/16,7.94,0.313
,,8.00,0.315
,,9.00,0.354
,3/8,9.53,0.375
,,10.00,0.394
,,11.00,0.433
,7/16,11.11,0.438
,1/2,12.70,0.500
,,13.00,0.512
,,14.00,0.551
,9/16,14.29,0.563
,,15.00,0.591
,5/8,15.88,0.625
,,16.00,0.630
,,17.00,0.669
,,18.00,0.709
,,19.00,0.748
,3/4,19.05,0.750
,,20.00,0.787
,,21.00,0.827
,,22.00,0.866
,7/8,22.23,0.875
,,23.00,0.906
,,24.00,0.945
,,25.00,0.984
,1,25.40,1.000
